1	72
2	77
4	86
5	86
6	25
7	12
8	0
9	42
10	63
11	77
17	78
22	76
23	82
24	84
25	66
27	47
29	42
31	12
32	30
33	41
34	63
35	94
41	100
42	25
44	15
46	60
51	61
52	95
53	49
54	31
55	18
57	108
59	92
62	74
64	70
65	31
66	23
67	51
68	99
70	98
76	76
77	48
78	27
79	21
81	2
83	52
85	126
88	105
91	76
93	40
95	3
97	30
98	53
100	55
101	66
105	68
106	82
109	82
110	25
111	13
112	22
113	37
114	72
116	57
118	54
119	53
121	52
123	99
125	118
126	41
127	17
130	58
133	111
136	41
138	21
139	71
140	6
141	4
142	47
143	42
144	32
145	36
146	96
148	52
149	34
150	21
151	0
152	2
153	3
154	71
155	122
156	16
157	17
158	72
161	58
164	1
165	8
166	37
167	78
169	88
173	83
174	76
176	75
178	42
179	89
181	92
182	81
184	21
188	0
189	0
190	91
193	144
194	132
195	82
196	62
198	55
199	46
200	9
202	51
203	204
204	105
